,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,37780.0,X
1,Total area of the country (excl. coastal water),4100,1967,37780.0,X
2,Total area of the country (excl. coastal water),4100,1972,37780.0,X
3,Total area of the country (excl. coastal water),4100,1977,37780.0,X
4,Total area of the country (excl. coastal water),4100,1982,37780.0,X
5,Total area of the country (excl. coastal water),4100,1987,37780.0,X
6,Total area of the country (excl. coastal water),4100,1992,37780.0,X
7,Total area of the country (excl. coastal water),4100,1997,37780.0,X
8,Total area of the country (excl. coastal water),4100,2002,37789.0,X
9,Total area of the country (excl. coastal water),4100,2007,37793.0,X
10,Total area of the country (excl. coastal water),4100,2012,37796.0,X
11,Total area of the country (excl. coastal water),4100,2017,37790.0,E
12,Total area of the country (excl. coastal water),4100,2018,37790.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,6020.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,5938.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,5684.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,5515.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,5426.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,5340.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,5165.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,4949.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,4763.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,4650.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,4549.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,4444.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,4420.0,X
26,Total population,4104,1962,95458.524,X
27,Total population,4104,1967,100822.291,X
28,Total population,4104,1972,107976.027,X
29,Total population,4104,1977,114827.832,X
30,Total population,4104,1982,119605.25,X
31,Total population,4104,1987,123072.71,X
32,Total population,4104,1992,125331.297,X
33,Total population,4104,1997,126892.738,X
34,Total population,4104,2002,127893.078,X
35,Total population,4104,2007,128494.057,X
36,Total population,4104,2012,128423.571,X
37,Total population,4104,2017,127502.725,X
38,Total population,4104,2018,127202.192,X
39,Rural population,4105,1962,33273.248,X
40,Rural population,4105,1967,30734.257,X
41,Rural population,4105,1972,28666.256,X
42,Rural population,4105,1977,27559.505,X
43,Rural population,4105,1982,28249.34,X
44,Rural population,4105,1987,28356.374,X
45,Rural population,4105,1992,28064.47,X
46,Rural population,4105,1997,27573.758,X
47,Rural population,4105,2002,23473.865,X
48,Rural population,4105,2007,15233.582,X
49,Rural population,4105,2012,11368.012,X
50,Rural population,4105,2017,10791.174,X
51,Rural population,4105,2018,10663.807,X
52,Urban population,4106,1962,62185.633,X
53,Urban population,4106,1967,70085.764,X
54,Urban population,4106,1972,79310.783,X
55,Urban population,4106,1977,87279.615,X
56,Urban population,4106,1982,91366.284,X
57,Urban population,4106,1987,94726.831,X
58,Urban population,4106,1992,97277.006,X
59,Urban population,4106,1997,99328.87,X
60,Urban population,4106,2002,104428.752,X
61,Urban population,4106,2007,113271.669,X
62,Urban population,4106,2012,117058.372,X
63,Urban population,4106,2017,116693.276,X
64,Urban population,4106,2018,116521.525,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.1412,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.1382,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.1326666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.1326,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.1326,I
70,Gross Domestic Product (GDP),4112,1962,60723018684.0,X
71,Gross Domestic Product (GDP),4112,1967,124000000000.0,X
72,Gross Domestic Product (GDP),4112,1972,318031297494.0,X
73,Gross Domestic Product (GDP),4112,1977,721411786539.0,X
74,Gross Domestic Product (GDP),4112,1982,1134518153718.0,X
75,Gross Domestic Product (GDP),4112,1987,2532808573157.0,X
76,Gross Domestic Product (GDP),4112,1992,3908808434705.0,X
77,Gross Domestic Product (GDP),4112,1997,4414734211850.0,X
78,Gross Domestic Product (GDP),4112,2002,4115115650038.0,X
79,Gross Domestic Product (GDP),4112,2007,4515263396033.0,X
80,Gross Domestic Product (GDP),4112,2012,6203213121334.0,X
81,Gross Domestic Product (GDP),4112,2015,4389475622589.0,X
82,GDP per capita,4458,1972,2945.360425,X
83,GDP per capita,4458,1977,6281.934123,X
84,GDP per capita,4458,1982,9484.698702,X
85,GDP per capita,4458,1987,20578.019342,X
86,GDP per capita,4458,1992,31185.275293,X
87,GDP per capita,4458,1997,34788.359244,X
88,GDP per capita,4458,2002,32173.819008,X
89,GDP per capita,4458,2007,35136.800721,X
90,GDP per capita,4458,2012,48301.703498,X
91,GDP per capita,4458,2017,38121.908661,X
92,GDP per capita,4458,2018,39087.235938,X
93,"Agriculture, value added (% GDP)",4113,1972,4.945687,X
94,"Agriculture, value added (% GDP)",4113,1977,4.583075,X
95,"Agriculture, value added (% GDP)",4113,1982,3.099521,X
96,"Agriculture, value added (% GDP)",4113,1987,2.573953,X
97,"Agriculture, value added (% GDP)",4113,1992,2.040445,X
98,"Agriculture, value added (% GDP)",4113,1997,1.557319,X
99,"Agriculture, value added (% GDP)",4113,2002,1.392111,X
100,"Agriculture, value added (% GDP)",4113,2007,1.060904,X
101,"Agriculture, value added (% GDP)",4113,2012,1.141796,X
102,"Agriculture, value added (% GDP)",4113,2015,1.113905,X
103,Prevalence of undernourishment (3-year average),4474,2012,2.7,I
104,Prevalence of undernourishment (3-year average),4474,2017,2.7,I
105,Prevalence of undernourishment (3-year average),4474,2018,2.7,I
106,Total population with access to safe drinking-water (JMP),4114,1992,100.0,X
107,Total population with access to safe drinking-water (JMP),4114,1997,100.0,X
108,Total population with access to safe drinking-water (JMP),4114,2002,100.0,X
109,Total population with access to safe drinking-water (JMP),4114,2007,100.0,X
110,Total population with access to safe drinking-water (JMP),4114,2012,100.0,X
111,Total population with access to safe drinking-water (JMP),4114,2017,100.0,I
112,Total population with access to safe drinking-water (JMP),4114,2018,100.0,I
113,Long-term average annual precipitation in volume,4150,1962,630.1704,E
114,Long-term average annual precipitation in volume,4150,1967,630.1704,E
115,Long-term average annual precipitation in volume,4150,1972,630.1704,E
116,Long-term average annual precipitation in volume,4150,1977,630.1704,E
117,Long-term average annual precipitation in volume,4150,1982,630.1704,E
118,Long-term average annual precipitation in volume,4150,1987,630.1704,E
119,Long-term average annual precipitation in volume,4150,1992,630.1704,E
120,Long-term average annual precipitation in volume,4150,1997,630.1704,E
121,Long-term average annual precipitation in volume,4150,2002,630.32052,E
122,Long-term average annual precipitation in volume,4150,2007,630.38724,E
123,Long-term average annual precipitation in volume,4150,2012,630.43728,E
124,Long-term average annual precipitation in volume,4150,2017,630.3372,E
125,Long-term average annual precipitation in volume,4150,2018,630.3372,E
126,Interannual variability (WRI),4541,2017,1.1,I
127,Interannual variability (WRI),4541,2018,1.1,I
128,Seasonal variability (WRI),4542,2017,1.7,I
129,Seasonal variability (WRI),4542,2018,1.7,I
130,Flood occurrence (WRI),4543,2017,3.0,I
131,Flood occurrence (WRI),4543,2018,3.0,I
132,Surface water: entering the country (total),4159,1962,0.0,
